# name,melting point (C)
Actinium,1051
Aluminum,660.32
Americium,1176
Antimony,630.63
Argon,-189.35
Arsenic,817
Astatine,302
Barium,727
Berkelium,1050
Beryllium,1287
Bismuth,271.40
Bohrium,
Boron,
Bromine,
Cadmium,
Calcium,
Californium,
Carbon,
Cerium,
Cesium,
Chlorine,
Chromium,
Cobalt,
Copernicium,
Copper,
Curium,
Darmstadtium,
Dubnium,
Dysprosium,
Einsteinium,
Erbium,
Europium,
Fermium,
Flerovium,
Fluorine,
Francium,
Gadolinium,
Gallium,
Germanium,
Gold,
Hafnium,
Hassium,
Helium,
Holmium,
Hydrogen,
Indium,
Iodine,
Iridium,
Iron,
Krypton,
Lanthanum,
Lawrencium,
Lead,
Lithium,
Livermorium,
Lutetium,
Magnesium,
Manganese,
Meitnerium,
Mendelevium,
Mercury,
Molybdenum,
Moscovium,
Neodymium,
Neon,
Neptunium,
Nickel,
Nihonium,
Niobium,
Nitrogen,
Nobelium,
Oganesson,
Osmium,
Oxygen,
Palladium,
Phosphorus,
Platinum,
Plutonium,
Polonium,
Potassium,
Praseodymium,
Promethium,
Protactinium,
Radium,
Radon,
Rhenium,
Rhodium,
Roentgenium,
Rubidium,
Ruthenium,
Rutherfordium,
Samarium,
Scandium,
Seaborgium,
Selenium,
Silicon,
Silver,
Sodium,
Strontium,
Sulfur,
Tantalum,
Technetium,
Tellurium,
Tennessine,
Terbium,
Thallium,
Thorium,
Thulium,
Tin,
Titanium,
Tungsten,
Uranium,
Vanadium,
Xenon,
Ytterbium,
Yttrium,
Zinc,
Zirconium,
