# atomic number,ionization energy (eV)
1,13.5984
2,24.5874
3,5.3917
4,9.3227
5,8.2980
6,11.2603
7,14.5341
8,13.6181
9,17.4228
10,21.5645
11,5.1391
12,7.6462
13,5.9858
14,8.1517
15,10.4867
16,10.3600
17,12.9676
18,15.7596
19,4.3407
20,6.1132
21,6.5615
22,6.8281
23,6.7462
24,6.7665
25,7.4340
26,7.9025
27,7.8810
28,7.6399
29,7.7264
30,9.3942
31,5.9993
32,7.8994
33,9.7886
34,9.7524
35,11.8138
36,13.9996
37,4.1771
38,5.6949
39,6.2173
40,6.6341
41,6.7589
42,7.0924
43,7.1194
44,7.3605
45,7.4589
46,8.3369
47,7.5762
48,8.9938
49,5.7864
50,7.3439
51,8.6084
52,9.0097
53,10.4513
54,12.1298
55,3.8939
56,5.2117
57,5.5769
58,5.5386
59,5.4702
60,5.5250
61,5.577
62,5.6437
63,5.6704
64,6.1498
65,5.8638
66,5.9391
67,6.0215
68,6.1077
69,6.1843
70,6.2542
71,5.4259
72,6.8251
73,7.5496
74,6.8640
75,6.8335
76,8.4382
77,8.9670
78,8.9588
79,9.2256
80,10.4375
81,6.1083
82,7.4167
83,7.2855
84,8.414
85,9.3175
86,10.7485
87,4.0727
88,5.2784
89,5.3802
90,6.3067
91,5.89
92,6.1941
93,6.2655
94,6.0258
95,5.9738
96,5.9914
97,6.1978
98,6.2817
99,6.3676
100,6.50
101,6.58
102,6.66
103,4.96
104,6.02
105,6.8
106,7.8
107,7.7
108,7.6
109,NaN
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,NaN
118,NaN
